country_name,week,prevalent_word,word_frequency,word_percentage,prevalence_score,num_articles,timeframe
Tonga,2025-W43,raises,1,100.0,50000.0,1,24h
Liechtenstein,2025-W43,beate,1,100.0,50000.0,1,24h
Laos,2025-W43,politeama,1,100.0,50000.0,1,7d
Djibouti,2025-W43,command,2,100.0,25000.0,2,24h
Burundi,2025-W43,burundi,3,100.0,25000.0,3,24h
Cabo Verde,2025-W43,volunteers,1,50.0,25000.0,2,24h
Maldives,2025-W43,pension,1,50.0,25000.0,2,24h
Ethiopia,2025-W43,minn,1,50.0,25000.0,2,24h
Sao Tome and Principe,2025-W43,jornal,2,100.0,25000.0,2,24h
Mozambique,2025-W43,nsul,1,50.0,25000.0,2,24h
Dominica,2025-W43,dominica,3,75.0,18750.0,4,30d
Eswatini,2025-W43,salary,2,50.0,16666.67,4,30d
Eritrea,2025-W43,capacity,1,33.33,16666.67,3,24h
Chad,2025-W43,alixe,1,33.33,16666.67,3,7d
Rwanda,2025-W43,slot,1,33.33,16666.67,3,24h
Grenada,2025-W43,grenada,3,75.0,15000.0,4,24h
Republic of the Congo,2025-W43,congo,7,100.0,12500.0,7,24h
Angola,2025-W43,camar,1,25.0,12500.0,4,24h
Central African Republic,2025-W43,rapide,1,25.0,12500.0,4,7d
Saint Lucia,2025-W43,lucia,3,60.0,12000.0,5,24h
Monaco,2025-W43,lucca,2,33.33,11111.11,6,24h
Haiti,2025-W43,dhaiti,2,33.33,11111.11,6,24h
Turkmenistan,2025-W43,turkmenistan,4,66.67,11111.11,6,24h
Sierra Leone,2025-W43,sierra,3,42.86,10714.29,7,24h
South Sudan,2025-W43,constituencies,1,20.0,10000.0,5,24h
Antigua and Barbuda,2025-W43,nedbr,1,20.0,10000.0,5,24h
Cote d'Ivoire,2025-W43,montre,2,28.57,9523.81,7,24h
Lesotho,2025-W43,lesotho,2,25.0,8333.33,8,7d
Solomon Islands,2025-W43,solomon,3,33.33,8333.33,9,24h
Togo,2025-W43,impos,1,16.67,8333.33,6,24h
Gambia,2025-W43,gambia,2,25.0,8333.33,8,24h
Belize,2025-W43,belize,2,25.0,8333.33,8,24h
Nicaragua,2025-W43,paso,1,12.5,6250.0,8,24h
San Marino,2025-W43,rimini,3,23.08,5769.23,13,24h
Tajikistan,2025-W43,conf,1,11.11,5555.56,9,24h
North Korea,2025-W43,assistance,1,11.11,5555.56,9,24h
Gabon,2025-W43,lunion,3,21.43,5357.14,14,24h
Barbados,2025-W43,barbados,3,20.0,5000.0,15,24h
Montenegro,2025-W43,palice,2,14.29,4761.9,14,24h
Vanuatu,2025-W43,vanuatu,2,18.18,4545.45,11,24h
Liberia,2025-W43,boakai,4,22.22,4444.44,18,24h
Benin,2025-W43,lections,3,17.65,4411.76,17,24h
Malta,2025-W43,malta,7,35.0,4375.0,20,24h
Trinidad and Tobago,2025-W43,warship,2,12.5,4166.67,16,24h
Bahamas,2025-W43,profile,2,12.5,4166.67,16,24h
Zambia,2025-W43,mozambique,6,28.57,4081.63,21,7d
Seychelles,2025-W43,seychelles,7,31.82,3535.35,22,7d
Fiji,2025-W43,fiji,4,17.39,3478.26,23,24h
Andorra,2025-W43,anys,4,16.67,3333.33,24,24h
Costa Rica,2025-W43,culto,2,10.0,3333.33,20,24h
Botswana,2025-W43,botswana,6,23.08,3296.7,26,7d
Brunei,2025-W43,brunei,30,100.0,3225.81,30,30d
Japan,2025-W43,agara,15,50.0,3125.0,30,24h
Guinea,2025-W43,guin,13,43.33,3095.24,30,7d
Kuwait,2025-W43,kuna,12,40.0,3076.92,30,24h
Thailand,2025-W43,bangkok,12,40.0,3076.92,30,24h
Somalia,2025-W43,jowhar,6,21.43,3061.22,28,24h
