country_name,week,prevalent_word,word_frequency,word_percentage,prevalence_score,num_articles
Brazil,2025-W42,mais,3,20.0,9901.4,15
Russia,2025-W42,envoy,6,12.0,5940.84,50
Costa Rica,2025-W42,guatemalan,1,10.0,4950.7,10
Colombia,2025-W42,slaps,2,20.0,4950.7,10
Chile,2025-W42,chilean,4,40.0,4950.7,10
Singapore,2025-W42,label,36,360.0,4950.7,10
Netherlands,2025-W42,amsterdam,2,20.0,4950.7,10
Hungary,2025-W42,hungarians,2,20.0,4950.7,10
Philippines,2025-W42,marcos,2,20.0,4950.7,10
Ecuador,2025-W42,ecuador,9,90.0,4950.7,10
Croatia,2025-W42,remnants,4,40.0,4950.7,10
Morocco,2025-W42,rabat,8,80.0,4950.7,10
Kazakhstan,2025-W42,empowerment,1,10.0,4950.7,10
Panama,2025-W42,magical,1,10.0,4950.7,10
Nigeria,2025-W42,pdp,2,13.33,3300.47,15
El Salvador,2025-W42,nayib,1,6.25,3094.19,16
Sweden,2025-W42,nehelg,2,10.0,2475.35,20
Serbia,2025-W42,nema,2,10.0,2475.35,20
Germany,2025-W42,fraternities,1,5.0,2475.35,20
Norway,2025-W42,paye,1,5.0,2475.35,20
Peru,2025-W42,exporters,1,5.0,2475.35,20
Slovakia,2025-W42,danko,1,5.0,2475.35,20
Dominican Republic,2025-W42,dominican,35,175.0,2475.35,20
Guatemala,2025-W42,puntos,1,5.0,2475.35,20
Denmark,2025-W42,requires,1,5.0,2475.35,20
Austria,2025-W42,austrians,1,5.0,2475.35,20
Spain,2025-W42,periodista,1,4.76,2357.48,21
United Kingdom,2025-W42,ham,4,8.0,1980.28,50
Canada,2025-W42,goalie,1,3.33,1650.23,30
Bulgaria,2025-W42,bulgarian,8,26.67,1650.23,30
Japan,2025-W42,lentil,2,6.67,1650.23,30
South Korea,2025-W42,averages,1,3.33,1650.23,30
France,2025-W42,pulls,1,2.27,1125.16,44
Australia,2025-W42,mate,1,2.22,1100.16,45
India,2025-W42,andhra,5,10.87,1076.24,46
United States,2025-W42,dominion,8,16.0,990.14,50
China,2025-W42,nanjing,14,28.0,990.14,50
Ukraine,2025-W42,reparations,5,10.0,990.14,50
Romania,2025-W42,boards,14,28.0,990.14,50
Portugal,2025-W42,lisbon,13,26.0,990.14,50
Latvia,2025-W42,leta,5,10.0,990.14,50
Estonia,2025-W42,rnu,5,10.0,990.14,50
